Time,Channel A
(ms),(V)

0.00000000,4.39344500
0.00200000,4.38306900
0.00400000,4.38306900
0.00600000,4.38306900
0.00800000,4.38306900
0.01000000,4.38306900
0.01200000,4.36231600
0.01400000,4.37269200
0.01600000,4.39344500
0.01800000,4.39344500
0.02000000,4.35132900
0.02200000,4.37269200
0.02400000,4.36231600
0.02600000,4.37269200
0.02800000,4.37269200
0.03000000,4.37269200
0.03200000,4.34095300
0.03400000,4.40443100
0.03600000,4.38306900
0.03800000,4.37269200
0.04000000,4.34095300
0.04200000,4.40443100
0.04400000,4.35132900
0.04600000,4.39344500
0.04800000,4.36231600
0.05000000,4.36231600
0.05200000,4.35132900
0.05400000,4.39344500
0.05600000,4.36231600
0.05800000,4.36231600
0.06000000,4.37269200
0.06200000,4.36231600
0.06400000,4.40443100
0.06600000,4.38306900
0.06800000,4.35132900
0.07000000,4.37269200
0.07200000,4.37269200
0.07400000,4.35132900
0.07600000,4.37269200
0.07800000,4.35132900
0.08000000,4.41480800
0.08200000,4.34095300
0.08400000,4.37269200
0.08600000,4.35132900
0.08800000,4.37269200
0.09000000,4.37269200
0.09200000,4.34095300
0.09400000,4.37269200
0.09600000,4.36231600
0.09800000,4.38306900
0.10000000,4.39344500
0.10200000,4.35132900
0.10400000,4.37269200
0.10600000,4.34095300
0.10800000,4.42518400
0.11000000,4.34095300
0.11200000,4.37269200
0.11400000,4.35132900
0.11600000,4.38306900
0.11800000,4.37269200
0.12000000,4.36231600
0.12200000,4.35132900
0.12400000,4.36231600
0.12600000,4.37269200
0.12800000,4.36231600
0.13000000,4.38306900
0.13200000,4.36231600
0.13400000,4.35132900
0.13600000,4.38306900
0.13800000,4.36231600
0.14000000,4.39344500
0.14200000,4.36231600
0.14400000,4.35132900
0.14600000,4.38306900
0.14800000,4.38306900
0.15000000,4.35132900
0.15200000,4.38306900
0.15400000,4.39344500
0.15600000,4.39344500
0.15800000,4.40443100
0.16000000,4.36231600
0.16200000,4.35132900
0.16400000,4.38306900
0.16600000,4.36231600
0.16800000,4.38306900
0.17000000,4.35132900
0.17200000,4.35132900
0.17400000,4.36231600
0.17600000,4.37269200
0.17800000,4.37269200
0.18000000,4.39344500
0.18200000,4.33057600
0.18400000,4.33057600
0.18600000,4.38306900
0.18800000,4.37269200
0.19000000,4.37269200
0.19200000,4.37269200
0.19400000,4.39344500
0.19600000,4.37269200
0.19800000,4.36231600
0.20000000,4.37269200
0.20200000,4.39344500
0.20400000,4.30921400
0.20600000,4.41480800
0.20800000,4.37269200
0.21000000,4.38306900
0.21200000,4.40443100
0.21400000,4.40443100
0.21600000,4.36231600
0.21800000,4.34095300
0.22000000,4.35132900
0.22200000,4.37269200
0.22400000,4.36231600
0.22600000,4.38306900
0.22800000,4.37269200
0.23000000,4.35132900
0.23200000,4.36231600
0.23400000,4.37269200
0.23600000,4.38306900
0.23800000,4.37269200
0.24000000,4.35132900
0.24200000,4.36231600
0.24400000,4.36231600
0.24600000,4.37269200
0.24800000,4.37269200
0.25000000,4.34095300
0.25200000,4.37269200
0.25400000,4.39344500
